Metric,Value
Number of tests,926
Number correct,688
Accuracy rate,74.30%

row_num,problem_id,image_name,question_idx,question,model_answer,ground_truth,correct
2,1065658,0a70eabf-c272-4d6b-a271-f44470be10dc.jpeg,0,Did students label the number line correctly?,YES,YES,True
2,1065658,0a70eabf-c272-4d6b-a271-f44470be10dc.jpeg,1,Did students use arrows to indicate the direction of movement on the number line?,YES,YES,True
2,1065658,0a70eabf-c272-4d6b-a271-f44470be10dc.jpeg,2,Is the final answer clearly marked on the number line?,YES,YES,True
2,1065658,0a70eabf-c272-4d6b-a271-f44470be10dc.jpeg,3,Did the student label the magnitude of each arrow on the number line diagram?,NO,NO,True
2,1065658,0a70eabf-c272-4d6b-a271-f44470be10dc.jpeg,4,Did the student use straight arrows or curved arrows to represent the sum of the integers on the number line diagram?,STRAIGHT ARROWS,NO,False
4,1065658,2b804ad7-6c17-4ae9-b830-17d3bfc445b2.png,0,Did students label the number line correctly?,YES,YES,True
4,1065658,2b804ad7-6c17-4ae9-b830-17d3bfc445b2.png,1,Did students use arrows to indicate the direction of movement on the number line?,NO,NO,True
4,1065658,2b804ad7-6c17-4ae9-b830-17d3bfc445b2.png,2,Is the final answer clearly marked on the number line?,NO,NO,True
4,1065658,2b804ad7-6c17-4ae9-b830-17d3bfc445b2.png,3,Did the student label the magnitude of each arrow?,NO,NO,True
5,1065658,56005c1c-8182-423a-93cd-db884a59f7b0.png,0,Did students label the number line correctly?,YES,YES,True
5,1065658,56005c1c-8182-423a-93cd-db884a59f7b0.png,1,Did students use arrows to indicate the direction of movement on the number line?,NO,NO,True
5,1065658,56005c1c-8182-423a-93cd-db884a59f7b0.png,2,Is the final answer clearly marked on the number line?,NO,NO,True
5,1065658,56005c1c-8182-423a-93cd-db884a59f7b0.png,3,Did the student label the magnitude of each arrow on the number line?,NO,NO,True
3,1065658,2292f546-86ba-4150-9888-eb4ea29067bf.jpeg,0,Did students label the number line correctly?,YES,YES,True
3,1065658,2292f546-86ba-4150-9888-eb4ea29067bf.jpeg,1,Did students use arrows to indicate the direction of movement on the number line?,YES,YES,True
3,1065658,2292f546-86ba-4150-9888-eb4ea29067bf.jpeg,2,Is the final answer clearly marked on the number line?,NO,NO,True
3,1065658,2292f546-86ba-4150-9888-eb4ea29067bf.jpeg,3,Did the student label the magnitude of each arrow?,NO,NO,True
1,1065658,04255753-0b36-495d-87eb-1e3cd0c97634.jpeg,0,Did students label the number line correctly?,NO,YES,False
1,1065658,04255753-0b36-495d-87eb-1e3cd0c97634.jpeg,1,Did students use arrows to indicate the direction of movement on the number line?,YES,YES,True
1,1065658,04255753-0b36-495d-87eb-1e3cd0c97634.jpeg,2,Is the final answer clearly marked on the number line?,YES,YES,True
1,1065658,04255753-0b36-495d-87eb-1e3cd0c97634.jpeg,3,Does the student label the magnitude of each arrow?,NO,NO,True
6,1065658,80545ef3-0616-4318-8bc3-ce431ef79f9f.jpeg,0,Did students label the number line correctly?,NO,YES,False
6,1065658,80545ef3-0616-4318-8bc3-ce431ef79f9f.jpeg,1,Did students use arrows to indicate the direction of movement on the number line?,NO,NO,True
6,1065658,80545ef3-0616-4318-8bc3-ce431ef79f9f.jpeg,2,Is the final answer clearly marked on the number line?,NO,NO,True
6,1065658,80545ef3-0616-4318-8bc3-ce431ef79f9f.jpeg,3,Does the depiction of each addend start at the end of the depiction of the previous addend?,YES,NO,False
9,1065658,a5c95313-cfb3-4455-8a8c-de8efcfc9847.png,0,Did students label the number line correctly?,NO,NO,True
9,1065658,a5c95313-cfb3-4455-8a8c-de8efcfc9847.png,1,Did students use arrows to indicate the direction of movement on the number line?,NO,YES,False
9,1065658,a5c95313-cfb3-4455-8a8c-de8efcfc9847.png,2,Is the final answer clearly marked on the number line?,NO,NO,True
9,1065658,a5c95313-cfb3-4455-8a8c-de8efcfc9847.png,3,Did the student label each addend on the number line?,NO,NO,True
8,1065658,8ef9d302-d398-405c-990c-b7e5c7cf3be4.png,0,Did students label the number line correctly?,YES,YES,True
8,1065658,8ef9d302-d398-405c-990c-b7e5c7cf3be4.png,1,Did students use arrows to indicate the direction of movement on the number line?,YES,YES,True
8,1065658,8ef9d302-d398-405c-990c-b7e5c7cf3be4.png,2,Is the final answer clearly marked on the number line?,NO,YES,False
11,1065658,d3e07e18-11c1-4f8e-8cfa-32ef8a9a560e.jpeg,0,Did students label the number line correctly?,YES,YES,True
11,1065658,d3e07e18-11c1-4f8e-8cfa-32ef8a9a560e.jpeg,1,Did students use arrows to indicate the direction of movement on the number line?,NO,YES,False
11,1065658,d3e07e18-11c1-4f8e-8cfa-32ef8a9a560e.jpeg,2,Is the final answer clearly marked on the number line?,NO,YES,False
10,1065658,b4214e02-e3fb-41ea-8339-a450fce2c071.png,0,Did students label the number line correctly?,NO,YES,False
10,1065658,b4214e02-e3fb-41ea-8339-a450fce2c071.png,1,Did students use arrows to indicate the direction of movement on the number line?,NO,YES,False
10,1065658,b4214e02-e3fb-41ea-8339-a450fce2c071.png,2,Is the final answer clearly marked on the number line?,NO,YES,False
7,1065658,8cbadb4e-42f0-43eb-abef-6c652c1d0542.jpeg,0,Did students label the number line correctly?,YES,YES,True
7,1065658,8cbadb4e-42f0-43eb-abef-6c652c1d0542.jpeg,1,Did students use arrows to indicate the direction of movement on the number line?,NO,NO,True
7,1065658,8cbadb4e-42f0-43eb-abef-6c652c1d0542.jpeg,2,Is the final answer clearly marked on the number line?,NO,YES,False
